time_ms	kiln
27280228.0	299.25
27285229.0	299.4996
27290230.0	299.2801
27295231.0	299.47
27300232.0	299.2801
27305233.0	299.4999
27310234.0	299.5
27315235.0	299.5
27320236.0	299.5
27325237.0	299.5
27330238.0	299.5
27335239.0	299.5
27340240.0	299.5
27345241.0	299.5
27350245.0	299.5
27355246.0	299.7236
27360247.0	299.72
27365248.0	299.75
27370249.0	299.7236
27375250.0	299.75
27380251.0	299.75
27385252.0	299.75
27390253.0	299.75
27395254.0	299.75
27400255.0	299.75
27405256.0	299.9705
27410257.0	299.7532
27415258.0	299.75
27420259.0	299.776
27425260.0	299.7536
27430261.0	299.9732
27435262.0	299.78
27440263.0	300
27445264.0	300
27450265.0	299.9996
27455266.0	300
27460267.0	300
27465268.0	300
27470269.0	300.0001
27475270.0	300
27480271.0	300
27485272.0	300.0001
27490273.0	300.25
27495274.0	299.8101
27500275.0	300.25
27505276.0	300.2496
27510277.0	300.25
27515278.0	300.25
27520279.0	300.25
27525280.0	300.25
27530281.0	300.25
27535282.0	300.25
27540283.0	300.25
27545284.0	300.4968
27550285.0	300.2501
27555286.0	300.4968
27560287.0	300.4968
27565288.0	300.4736
27570289.0	300.5
27575290.0	300.5
27580291.0	300.5
27585292.0	300.5
27590293.0	300.5
27595294.0	300.5
27600295.0	300.5264
27605296.0	300.5
27610297.0	300.5296
27615298.0	300.5004
27620299.0	300.75
27625300.0	300.7235
27630301.0	300.724
27635302.0	300.75
27640303.0	300.75
27645304.0	300.78
27650305.0	300.75
27655306.0	300.9999
27660307.0	300.9968
27665308.0	300.9999
27670309.0	301
27675310.0	301
27680311.0	301
27685312.0	301
27690313.0	301.2464
27695314.0	301
27700315.0	301.0264
27705316.0	301.0296
27710317.0	301.2468
27715318.0	301.22
27720319.0	301.0036
27725320.0	301.2236
27730321.0	301.2468
27735322.0	301.0301
27740323.0	301.25
27745324.0	301.25
27750325.0	301.25
27755326.0	301.25
27760327.0	301.25
27765328.0	301.2765
27770329.0	301.2535
27775330.0	301.5
27780331.0	301.4704
27785332.0	301.2761
27790333.0	301.4996
27795334.0	301.4968
27800335.0	301.5
27805336.0	301.5
27810337.0	301.5
27815338.0	301.5
27820339.0	301.5
27825340.0	301.28
27830341.0	301.5
27835342.0	301.5
27840343.0	301.5
27845344.0	301.5032
27850348.0	301.5
27855349.0	301.5
27860350.0	301.5004
27865351.0	301.5004
27870352.0	301.5036
27875353.0	301.7499
27880354.0	301.75
27885355.0	301.7464
27890356.0	301.75
27895357.0	301.75
27900358.0	301.75
27905359.0	301.75
27910360.0	301.75
27915361.0	301.75
27920362.0	301.75
27925363.0	301.75
27930364.0	301.7504
27935365.0	301.7536
27940366.0	301.7504
27945367.0	302
27950368.0	302
27955369.0	302
27960370.0	302
27965371.0	302
27970372.0	302
27975373.0	302
27980374.0	302
27985375.0	302
27990376.0	302
27995377.0	302
28000378.0	302
28005379.0	302.0036
28010380.0	302.25
28015381.0	302.2496
28020382.0	302.25
28025383.0	302.25
28030384.0	302.25
28035385.0	302.25
28040386.0	302.25
28045387.0	302.25
28050388.0	302.25
28055389.0	302.25
28060390.0	302.25
28065391.0	302.25
28070392.0	302.2504
28075393.0	302.4735
28080394.0	302.2801
28085395.0	302.28
28090396.0	302.5
28095397.0	302.5
28100398.0	302.5
28105399.0	302.4968
28110400.0	302.5
28115401.0	302.5
28120402.0	302.5
28125403.0	302.5
28130404.0	302.5
28135405.0	302.5
28140406.0	302.5
28145407.0	302.7236
28150408.0	302.5036
28155409.0	302.75
28160410.0	302.5301
28165411.0	302.75
28170412.0	302.97
28175413.0	302.75
28180414.0	302.75
28185415.0	302.75
28190416.0	302.75
28195417.0	302.75
28200418.0	302.75
28205419.0	302.75
28210420.0	302.75
28215421.0	302.7536
28220422.0	302.9996
28225423.0	303
28230424.0	303
28235425.0	303
28240426.0	303
28245427.0	303
28250428.0	303
28255429.0	303
28260430.0	303
28265431.0	303
28270432.0	303.0032
28275433.0	303.0265
28280434.0	303
28285435.0	303.22
28290436.0	303.2499
28295437.0	303.0301
28300438.0	303.25
28305439.0	303.0301
28310440.0	303.25
28315441.0	303.25
28320442.0	303.25
28325443.0	303.2496
28330444.0	303.25
28335445.0	303.25
28340446.0	303.25
28345447.0	303.4999
28350451.0	303.4704
28355452.0	303.4996
28360453.0	303.4968
28365454.0	303.4996
28370455.0	303.4985
28375456.0	303.5
28380457.0	303.5
28385458.0	303.4968
28390459.0	303.5
28395460.0	303.5
28400461.0	303.5
28405462.0	303.5296
28410463.0	303.7495
28415464.0	303.7468
28420465.0	303.75
28425466.0	303.75
28430467.0	303.7235
28435468.0	303.75
28440469.0	303.75
28445470.0	303.7468
28450471.0	303.75
28455472.0	303.75
28460473.0	303.75
28465474.0	303.75
28470475.0	303.75
28475476.0	303.53
28480477.0	303.3105
28485478.0	303.7504
28490479.0	303.9703
28495480.0	303.9736
28500481.0	304
28505482.0	303.78
28510483.0	304
28515484.0	304
28520485.0	304
28525486.0	304
28530487.0	304
28535488.0	304
28540489.0	304
28545490.0	304.2199
28550491.0	304.0032
28555492.0	304.0036
28560493.0	304.2203
28565494.0	303.5897
28570495.0	304.25
28575496.0	304.2203
28580497.0	304.25
28585498.0	304.25
28590499.0	304.25
28595500.0	304.25
28600501.0	304.25
28605502.0	304.2764
28610503.0	304.4699
28615504.0	304.2535
28620505.0	304.276
28625506.0	304.2504
28630507.0	304.2499
28635508.0	304.2764
28640509.0	304.2764
28645510.0	304.28
28650511.0	304.5
28655512.0	304.4996
28660513.0	304.2791
28665514.0	304.5
28670515.0	304.5
28675516.0	304.5
28680517.0	304.5
28685518.0	304.5
28690519.0	304.5
28695520.0	304.5
28700521.0	304.5
28705522.0	304.5
28710523.0	304.72
28715524.0	304.5269
28720525.0	304.5001
28725526.0	304.75
28730527.0	304.7468
28735528.0	304.5297
28740529.0	304.5301
28745530.0	304.5295
28750531.0	304.75
28755532.0	304.75
28760533.0	304.75
28765534.0	304.75
28770535.0	304.75
28775536.0	304.75
28780537.0	304.75
28785538.0	304.75
28790539.0	304.9731
28795540.0	304.7504
28800541.0	304.9699
28805542.0	304.7532
28810543.0	304.9699
28815544.0	305
28820545.0	304.9731
28825546.0	304.9999
28830547.0	305
28835548.0	305
28840549.0	305
28845550.0	304.9999
28850554.0	305.0264
28855555.0	305.2199
28860556.0	305.2496
28865557.0	304.7795
28870558.0	305.2496
28875559.0	305.0032
28880560.0	305.0264
28885561.0	305.03
28890562.0	305.2468
28895563.0	305.25
28900564.0	305.25
28905565.0	305.25
28910566.0	305.25
28915567.0	305.25
28920568.0	305.25
28925569.0	305.2765
28930570.0	305.4731
28935571.0	305.47
28940572.0	305.25
28945573.0	305.25
28950574.0	305.4968
28955575.0	305.47
28960576.0	305.2801
28965577.0	305.474
28970578.0	305.4996
28975579.0	305.2769
28980580.0	305.5
28985581.0	305.5
28990582.0	305.5
28995583.0	305.5
29000584.0	305.5
29005585.0	305.5
29010586.0	305.5
29015587.0	305.5
29020588.0	305.5
29025589.0	305.5
29030590.0	305.2801
29035591.0	305.7199
29040592.0	305.7464
29045593.0	305.7465
29050594.0	305.7499
29055595.0	305.72
29060596.0	305.7499
29065597.0	305.7496
29070598.0	305.75
29075599.0	305.7499
29080600.0	305.7499
29085601.0	305.7499
29090602.0	305.7499
29095603.0	305.7499
29100604.0	305.75
29105605.0	305.7499
